Frequency (Hz)	Level (dB)
86.132813	-42.264679
172.265625	-43.818455
258.398438	-45.045280
344.531250	-45.492931
430.664063	-44.346275
516.796875	-43.782543
602.929688	-41.869370
689.062500	-39.074104
775.195313	-36.196560
861.328125	-38.077118
947.460938	-42.534054
1033.593750	-46.771381
1119.726563	-48.270466
1205.859375	-47.811104
1291.992188	-46.863819
1378.125000	-42.738636
1464.257813	-39.065563
1550.390625	-37.067135
1636.523438	-38.079556
1722.656250	-41.732803
1808.789063	-44.001358
1894.921875	-45.327232
1981.054688	-45.058048
2067.187500	-44.492130
2153.320313	-43.106472
2239.453125	-41.682579
2325.585938	-43.300377
2411.718750	-45.628319
2497.851563	-48.741173
2583.984375	-51.633526
2670.117188	-52.664944
2756.250000	-52.377052
2842.382813	-53.330273
2928.515625	-53.886734
3014.648438	-50.382519
3100.781250	-45.559570
3186.914063	-43.086979
3273.046875	-41.706291
3359.179688	-38.960102
3445.312500	-36.871372
3531.445313	-37.506699
3617.578125	-40.295799
3703.710938	-44.156406
3789.843750	-48.048538
3875.976563	-53.201141
3962.109375	-59.550842
4048.242188	-63.737965
4134.375000	-65.227745
4220.507813	-65.857147
4306.640625	-67.541519
4392.773438	-70.297615
4478.906250	-71.326637
4565.039063	-71.148293
4651.171875	-73.542427
4737.304688	-75.868851
4823.437500	-76.345352
4909.570313	-74.824287
4995.703125	-74.702065
5081.835938	-76.267342
5167.968750	-76.089035
5254.101563	-73.343658
5340.234375	-71.259857
5426.367188	-71.530632
5512.500000	-73.512283
5598.632813	-75.145782
5684.765625	-75.275925
5770.898438	-76.726547
5857.031250	-75.911743
5943.164063	-77.342194
6029.296875	-79.566841
6115.429688	-81.026840
6201.562500	-80.262192
6287.695313	-79.812958
6373.828125	-80.016335
6459.960938	-79.924377
6546.093750	-80.704254
6632.226563	-80.194099
6718.359375	-78.581779
6804.492188	-77.438881
6890.625000	-77.234039
6976.757813	-76.980850
7062.890625	-76.842377
7149.023438	-77.682587
7235.156250	-77.545799
7321.289063	-74.926140
7407.421875	-75.321678
7493.554688	-76.625557
7579.687500	-76.504463
7665.820313	-75.262329
7751.953125	-76.366196
7838.085938	-77.170418
7924.218750	-77.582809
8010.351563	-76.921532
8096.484375	-77.999626
8182.617188	-78.200470
8268.750000	-76.967018
8354.882813	-76.527199
8441.015625	-75.708313
8527.148438	-76.598061
8613.281250	-77.951736
8699.414063	-76.896057
8785.546875	-75.727959
8871.679688	-75.900276
8957.812500	-76.859810
9043.945313	-78.084045
9130.078125	-76.842659
9216.210938	-75.533592
9302.343750	-76.509079
9388.476563	-76.573662
9474.609375	-77.389244
9560.742188	-78.046158
9646.875000	-77.089531
9733.007813	-75.781601
9819.140625	-76.123184
9905.273438	-77.219101
9991.406250	-77.467857
10077.539063	-77.931122
10163.671875	-76.856361
10249.804688	-76.370499
10335.937500	-77.714981
10422.070313	-79.610909
10508.203125	-81.664444
10594.335938	-81.907135
10680.468750	-82.134048
10766.601563	-82.138779
10852.734375	-82.338593
10938.867188	-83.213058
11025.000000	-83.061546
11111.132813	-82.808464
11197.265625	-82.954674
11283.398438	-83.316467
11369.531250	-84.806099
11455.664063	-86.803848
11541.796875	-87.550583
11627.929688	-86.651962
11714.062500	-83.631393
11800.195313	-82.323914
11886.328125	-85.441147
11972.460938	-87.066109
12058.593750	-85.827782
12144.726563	-86.222054
12230.859375	-88.138710
12316.992188	-89.605988
12403.125000	-88.929901
12489.257813	-88.468353
12575.390625	-88.267998
12661.523438	-88.467087
12747.656250	-89.588509
12833.789063	-90.003693
12919.921875	-88.821327
13006.054688	-89.103615
13092.187500	-89.879456
13178.320313	-90.318863
13264.453125	-91.004486
13350.585938	-91.396606
13436.718750	-91.234940
13522.851563	-91.221825
13608.984375	-91.284958
13695.117188	-90.748230
13781.250000	-91.046021
13867.382813	-91.129692
13953.515625	-91.195374
14039.648438	-91.414642
14125.781250	-91.820084
14211.914063	-92.186249
14298.046875	-91.906303
14384.179688	-90.677322
14470.312500	-90.625305
14556.445313	-90.374176
14642.578125	-90.545082
14728.710938	-91.417320
14814.843750	-91.929420
14900.976563	-92.140022
14987.109375	-92.141388
15073.242188	-92.480606
15159.375000	-93.016747
15245.507813	-93.221786
15331.640625	-93.207687
15417.773438	-93.364342
15503.906250	-93.066986
15590.039063	-92.630379
15676.171875	-92.705894
15762.304688	-93.060165
15848.437500	-93.289734
15934.570313	-93.443199
16020.703125	-92.991234
16106.835938	-92.541870
16192.968750	-92.758072
16279.101563	-92.762650
16365.234375	-92.338394
16451.367188	-92.171654
16537.500000	-92.851242
16623.632813	-92.851524
16709.765625	-92.577927
16795.898438	-92.240005
16882.031250	-92.597084
16968.164063	-93.002052
17054.296875	-92.279716
17140.429688	-92.499168
17226.562500	-92.844391
17312.695313	-92.671761
17398.828125	-92.728523
17484.960938	-92.791771
17571.093750	-92.687645
17657.226563	-92.840942
17743.359375	-92.489525
17829.492188	-92.491745
17915.625000	-92.374504
18001.757813	-92.753204
18087.890625	-92.971970
18174.023438	-92.922638
18260.156250	-92.960228
18346.289063	-92.962723
18432.421875	-93.269203
18518.554688	-93.089203
18604.687500	-93.185692
18690.820313	-93.196640
18776.953125	-93.107864
18863.085938	-93.532684
18949.218750	-93.168259
19035.351563	-92.461021
19121.484375	-92.317337
19207.617188	-92.695267
19293.750000	-92.994728
19379.882813	-92.879425
19466.015625	-93.118538
19552.148438	-93.023949
19638.281250	-93.055817
19724.414063	-92.899086
19810.546875	-93.153000
19896.679688	-93.966766
19982.812500	-93.625999
20068.945313	-93.278954
20155.078125	-93.418221
20241.210938	-93.769417
20327.343750	-93.444359
20413.476563	-93.240677
20499.609375	-93.974525
20585.742188	-93.978622
20671.875000	-93.734756
20758.007813	-94.196991
20844.140625	-94.155373
20930.273438	-94.027962
21016.406250	-94.298767
21102.539063	-94.462219
21188.671875	-94.635826
21274.804688	-94.464157
21360.937500	-94.082230
21447.070313	-93.887482
21533.203125	-94.460236
21619.335938	-94.545334
21705.468750	-93.944275
21791.601563	-94.093681
21877.734375	-94.182655
21963.867188	-94.538490
